track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
4,362,36200,car,949.395,1004.989,-11.045,-0.389,-3.106,4.25,1.71
4,363,36300,car,948.29,1004.954,-11.049,-0.352,-3.11,4.25,1.71
4,364,36400,car,947.185,1004.923,-11.054,-0.313,-3.113,4.25,1.71
4,365,36500,car,946.08,1004.897,-11.06,-0.271,-3.117,4.25,1.71
4,366,36600,car,944.973,1004.875,-11.066,-0.227,-3.121,4.25,1.71
4,367,36700,car,943.867,1004.857,-11.073,-0.178,-3.126,4.25,1.71
4,368,36800,car,942.759,1004.845,-11.079,-0.126,-3.13,4.25,1.71
4,369,36900,car,941.651,1004.839,-11.086,-0.069,-3.135,4.25,1.71
4,370,37000,car,940.543,1004.839,-11.092,-0.008,-3.141,4.25,1.71
4,371,37100,car,939.434,1004.846,-11.098,0.057,3.136,4.25,1.71
4,372,37200,car,938.324,1004.859,-11.105,0.125,3.13,4.25,1.71
4,373,37300,car,937.213,1004.879,-11.112,0.195,3.124,4.25,1.71
4,374,37400,car,936.102,1004.906,-11.12,0.266,3.118,4.25,1.71
4,375,37500,car,934.991,1004.941,-11.129,0.337,3.111,4.25,1.71
4,376,37600,car,933.878,1004.982,-11.138,0.407,3.105,4.25,1.71
4,377,37700,car,932.764,1005.03,-11.148,0.475,3.099,4.25,1.71
4,378,37800,car,931.65,1005.085,-11.158,0.539,3.093,4.25,1.71
4,379,37900,car,930.534,1005.145,-11.167,0.599,3.088,4.25,1.71
4,380,38000,car,929.418,1005.211,-11.176,0.654,3.083,4.25,1.71
4,381,38100,car,928.301,1005.282,-11.184,0.703,3.079,4.25,1.71
4,382,38200,car,927.183,1005.357,-11.192,0.747,3.075,4.25,1.71
4,383,38300,car,926.064,1005.435,-11.198,0.784,3.072,4.25,1.71
4,384,38400,car,924.944,1005.517,-11.205,0.815,3.069,4.25,1.71
4,385,38500,car,923.824,1005.602,-11.211,0.841,3.067,4.25,1.71
4,386,38600,car,922.703,1005.688,-11.216,0.861,3.065,4.25,1.71
4,387,38700,car,921.581,1005.775,-11.222,0.875,3.064,4.25,1.71
4,388,38800,car,920.459,1005.864,-11.227,0.885,3.063,4.25,1.71
4,389,38900,car,919.337,1005.953,-11.232,0.891,3.062,4.25,1.71
4,390,39000,car,918.213,1006.042,-11.236,0.892,3.062,4.25,1.71
4,391,39100,car,917.09,1006.131,-11.239,0.891,3.062,4.25,1.71
4,392,39200,car,915.966,1006.22,-11.242,0.888,3.063,4.25,1.71
4,393,39300,car,914.842,1006.308,-11.243,0.883,3.063,4.25,1.71
4,394,39400,car,913.717,1006.396,-11.243,0.877,3.064,4.25,1.71
4,395,39500,car,912.593,1006.483,-11.242,0.87,3.064,4.25,1.71
4,396,39600,car,911.469,1006.569,-11.239,0.864,3.065,4.25,1.71
